City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hilo,US,19.7297,-155.09,76.73,87,100,9.22,moderate rain
80,Lixourion,GR,38.2019,20.4314,56.59,84,38,16.28,scattered clouds
81,Aykhal,RU,66.0,111.5,4.03,93,77,8.14,broken clouds
82,Qaanaaq,GL,77.484,-69.3632,14.95,95,100,1.99,overcast clouds
83,Mizdah,LY,31.4451,12.9801,60.69,35,19,5.75,few clouds
84,Husavik,IS,66.0449,-17.3389,34.84,85,100,8.57,overcast clouds
85,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,5.75,clear sky
86,Ixtapa,MX,20.7,-105.2,72.23,81,100,4.0,overcast clouds
87,Upernavik,GL,72.7868,-56.1549,7.07,98,100,9.42,overcast clouds
88,Teguise,ES,29.0605,-13.564,59.22,63,100,4.61,overcast clouds
89,Arraial Do Cabo,BR,-22.9661,-42.0278,75.27,90,100,19.3,overcast clouds
90,Chabahar,IR,25.2919,60.643,77.25,57,0,6.85,clear sky
91,Klaksvik,FO,62.2266,-6.589,34.72,74,96,16.44,overcast clouds
92,Te Anau,NZ,-45.4167,167.7167,66.92,46,2,0.31,clear sky
93,Makubetsu,JP,45.3714,141.8211,36.59,52,8,18.66,clear sky
94,New Norfolk,AU,-42.7826,147.0587,58.91,59,100,4.0,overcast clouds
95,Zhuhai,CN,22.2769,113.5678,58.78,82,40,25.32,light rain
96,Saint-Philippe,RE,-21.3585,55.7679,72.99,97,100,15.64,heavy intensity rain
97,Ancud,CL,-41.8697,-73.8203,52.32,93,47,4.25,scattered clouds
98,Port Elizabeth,ZA,-33.918,25.5701,62.89,78,75,13.8,broken clouds
99,Mackay,AU,-21.15,149.2,86.68,63,18,13.02,few clouds
100,Jacareacanga,BR,-6.2222,-57.7528,74.05,95,22,1.12,few clouds
101,Geraldton,AU,-28.7667,114.6,79.21,65,75,10.36,broken clouds
102,Bar-Le-Duc,FR,48.75,5.1667,34.18,95,100,11.34,light snow
103,Terre Haute,US,39.4667,-87.4139,39.72,71,72,0.63,broken clouds
104,Chara,RU,56.9064,118.2631,27.3,76,100,3.91,overcast clouds
105,Hofn,IS,64.2539,-15.2082,39.54,78,100,4.61,overcast clouds
106,Borovoy,RU,55.4333,86.0833,34.88,80,0,17.9,clear sky
107,Visby,SE,57.6409,18.296,28.62,74,8,8.05,clear sky
108,Sergeyevka,KZ,53.88,67.4158,32.11,95,100,5.82,overcast clouds
109,Saint Anthony,US,45.0205,-93.218,42.4,74,100,1.01,light rain
110,Luanda,AO,-8.8368,13.2343,77.25,90,100,8.43,light rain
111,Atagay,RU,55.1033,99.3875,34.41,75,100,4.88,overcast clouds
112,Laibin,CN,23.7,109.2667,55.24,74,100,15.08,overcast clouds
113,Bubaque,GW,11.2833,-15.8333,74.73,73,7,17.43,clear sky
114,Hudson Bay,CA,52.85,-102.3842,28.74,84,100,11.97,overcast clouds
115,Ahipara,NZ,-35.1667,173.1667,73.9,61,99,1.72,overcast clouds
116,Kualakapuas,ID,-3.0091,114.3876,79.03,82,80,0.69,broken clouds
