City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2022-03-31 21:32:48,64.3833,-173.3,23.36,74,100,25.01
1,Farafangana,MG,2022-03-31 21:32:49,-22.8167,47.8333,73.6,83,23,7.11
2,Kapaa,US,2022-03-31 21:32:50,22.0752,-159.319,79.48,82,75,14.97
3,Maningrida,AU,2022-03-31 21:32:50,-12.0667,134.2667,76.59,83,7,3.71
4,Nikolskoye,RU,2022-03-31 21:32:51,59.7035,30.7861,26.8,97,15,2.13
5,Yabucoa,PR,2022-03-31 21:32:52,18.0505,-65.8793,82.49,79,15,16.31
6,Katsuura,JP,2022-03-31 21:32:52,35.1333,140.3,41.92,96,100,25.9
7,Busselton,AU,2022-03-31 21:32:53,-33.65,115.3333,69.71,76,15,10.02
8,Castro,BR,2022-03-31 21:32:53,-24.7911,-50.0119,55.92,98,100,8.12
9,Sitka,US,2022-03-31 21:32:54,57.0531,-135.33,44.49,65,100,8.05
10,Punta Arenas,CL,2022-03-31 21:32:39,-53.15,-70.9167,53.71,50,75,28.77
11,Kyaukse,MM,2022-03-31 21:32:55,21.6,96.1333,80.53,36,39,4.45
12,Vaini,TO,2022-03-31 21:32:55,-21.2,-175.2,82.56,83,40,5.75
13,Mataura,NZ,2022-03-31 21:32:56,-46.1927,168.8643,50.59,58,100,4.47
14,Rikitea,PF,2022-03-31 21:32:57,-23.1203,-134.9692,77.77,66,57,13.47
15,Douentza,ML,2022-03-31 21:32:58,14.9951,-2.9517,86.54,5,47,3.8
16,Mahebourg,MU,2022-03-31 21:32:58,-20.4081,57.7,79.09,78,40,12.66
17,Ushuaia,AR,2022-03-31 21:32:59,-54.8,-68.3,53.26,47,20,17.27
18,Ponta Do Sol,PT,2022-03-31 21:32:59,32.6667,-17.1,64.71,83,67,4.05
19,Lompoc,US,2022-03-31 21:33:00,34.6391,-120.4579,70.7,70,0,19.57
20,Puerto Ayora,EC,2022-03-31 21:33:01,-0.7393,-90.3518,82.36,74,96,3.8
21,Kaitangata,NZ,2022-03-31 21:33:01,-46.2817,169.8464,51.94,54,100,4.29
22,Olafsvik,IS,2022-03-31 21:33:02,64.8945,-23.7142,39.34,85,100,6.73
23,Yellowknife,CA,2022-03-31 21:33:04,62.456,-114.3525,18.28,77,75,19.57
24,Arraial Do Cabo,BR,2022-03-31 21:33:04,-22.9661,-42.0278,78.76,88,40,11.5
25,Butaritari,KI,2022-03-31 21:33:06,3.0707,172.7902,81.09,80,39,16.35
26,Bethel,US,2022-03-31 21:29:52,41.3712,-73.414,65.35,81,75,8.05
27,Guadalupe Y Calvo,MX,2022-03-31 21:33:08,26.1,-106.9667,66.78,7,96,10.74
28,Khatanga,RU,2022-03-31 21:33:09,71.9667,102.5,-7.29,100,84,4.94
29,Saint-Philippe,RE,2022-03-31 21:33:09,-21.3585,55.7679,76.59,82,100,12.44
30,Pevek,RU,2022-03-31 21:33:10,69.7008,170.3133,-17.77,95,21,4.79
31,Cape Town,ZA,2022-03-31 21:32:32,-33.9258,18.4232,63.27,72,0,20.71
32,Tiksi,RU,2022-03-31 21:33:11,71.6872,128.8694,6.08,97,100,7.96
33,Mocuba,MZ,2022-03-31 21:33:11,-16.8392,36.9856,70.92,98,12,1.14
34,Lavrentiya,RU,2022-03-31 21:33:12,65.5833,-171.0,15.85,77,58,12.1
35,Aljezur,PT,2022-03-31 21:33:13,37.3191,-8.8033,55.24,80,2,15.39
36,Kiunga,PG,2022-03-31 21:33:13,-6.1219,141.2906,73.17,99,100,1.86
37,Northam,GB,2022-03-31 21:33:14,51.0333,-4.2167,40.6,69,89,17.6
38,Tabou,CI,2022-03-31 21:33:14,4.423,-7.3528,80.29,87,34,6.38
39,Ginda,IN,2022-03-31 21:33:15,30.6945,78.4932,55.06,17,0,8.52
40,Norman Wells,CA,2022-03-31 21:33:16,65.282,-126.8329,-11.16,58,20,23.02
41,Airai,TL,2022-03-31 21:33:16,-8.9266,125.4092,56.84,76,2,2.51
42,Vostok,RU,2022-03-31 21:33:17,46.4856,135.8833,16.86,92,100,4.14
43,Geraldton,AU,2022-03-31 21:31:12,-28.7667,114.6,73.81,78,100,11.5
44,Hermanus,ZA,2022-03-31 21:33:18,-34.4187,19.2345,62.8,67,97,10.45
45,Tasiilaq,GL,2022-03-31 21:33:18,65.6145,-37.6368,32.16,98,100,4.63
46,Narsaq,GL,2022-03-31 21:33:19,60.9167,-46.05,39.42,79,100,4.74
47,Dom Pedrito,BR,2022-03-31 21:34:20,-30.9828,-54.6731,55.4,54,4,5.5
48,Biak,ID,2022-03-31 21:34:20,-0.9131,122.8766,75.29,83,100,2.51
49,Port Alfred,ZA,2022-03-31 21:34:21,-33.5906,26.891,64.18,94,100,3.0
50,San Patricio,US,2022-03-31 21:34:21,28.017,-97.5169,87.19,27,3,6.78
51,Albany,US,2022-03-31 21:29:45,42.6001,-73.9662,61.45,84,100,7.83
52,Krasnokamensk,RU,2022-03-31 21:34:22,50.0979,118.0369,22.71,33,39,4.12
53,Carnarvon,AU,2022-03-31 21:34:23,-24.8667,113.6333,69.87,94,75,18.41
54,Coquimbo,CL,2022-03-31 21:31:25,-29.9533,-71.3436,60.53,72,0,12.66
55,Kozhevnikovo,RU,2022-03-31 21:34:24,56.2589,83.9714,38.25,83,100,15.23
56,Waterloo,CA,2022-03-31 21:34:25,43.4668,-80.5164,46.65,66,100,18.41
57,Iralaya,HN,2022-03-31 21:34:25,15.0,-83.2333,81.79,73,31,10.89
